Bug,Releases Slept,Project
TAP5-302,15,TAP5
TILES-416,11,TILES
TILES-104,0,TILES
TILES-469,4,TILES
TILES-111,1,TILES
TILES-574,3,TILES
TILES-222,3,TILES
TILES-118,2,TILES
TILES-117,2,TILES
TILES-151,4,TILES
TILES-175,4,TILES
TILES-421,3,TILES
TILES-232,3,TILES
TILES-255,6,TILES
TILES-230,6,TILES
TILES-161,1,TILES
TILES-346,10,TILES
TILES-404,11,TILES
TILES-322,1,TILES
TILES-356,8,TILES
TILES-276,4,TILES
TILES-137,2,TILES
TILES-441,0,TILES
TILES-138,2,TILES
TILES-464,5,TILES
TILES-307,1,TILES
TILES-348,2,TILES
TILES-349,10,TILES
TILES-402,0,TILES
TILES-339,8,TILES
TILES-468,13,TILES
TILES-429,8,TILES
TILES-452,5,TILES
TILES-466,4,TILES
TILES-225,5,TILES
TILES-573,1,TILES
TILES-388,3,TILES
TILES-203,5,TILES
TILES-451,12,TILES
TILES-305,1,TILES
TILES-142,2,TILES
TILES-204,5,TILES
TILES-513,0,TILES
TILES-224,5,TILES
TILES-209,5,TILES
TILES-437,0,TILES
TILES-430,12,TILES
TILES-223,5,TILES
TILES-444,5,TILES
TILES-122,2,TILES
TILES-534,0,TILES
TILES-288,0,TILES
TILES-351,10,TILES
TILES-447,5,TILES
TILES-353,10,TILES
TILES-352,5,TILES
TILES-557,0,TILES
TILES-268,6,TILES
TILES-450,5,TILES
TILES-334,8,TILES
TILES-456,0,TILES
TILES-286,7,TILES
TILES-454,0,TILES
TILES-340,5,TILES
VELOCITY-730,0,VELOCITY
VELOCITY-731,2,VELOCITY
VELOCITY-759,7,VELOCITY
VELOCITY-595,0,VELOCITY
VELOCITY-615,3,VELOCITY
VELOCITY-753,0,VELOCITY
VELOCITY-499,1,VELOCITY
VELOCITY-678,4,VELOCITY
VELOCITY-538,0,VELOCITY
VELOCITY-71,5,VELOCITY
VELOCITY-616,1,VELOCITY
VELOCITY-689,4,VELOCITY
VELOCITY-508,0,VELOCITY
VELOCITY-520,1,VELOCITY
VELOCITY-501,0,VELOCITY
VELOCITY-614,0,VELOCITY
VELOCITY-561,1,VELOCITY
VELOCITY-570,0,VELOCITY
VELOCITY-686,5,VELOCITY
VELOCITY-541,0,VELOCITY
VELOCITY-355,1,VELOCITY
VELOCITY-744,0,VELOCITY
VELOCITY-649,1,VELOCITY
VELOCITY-606,0,VELOCITY
VELOCITY-607,1,VELOCITY
VELOCITY-644,2,VELOCITY
VELOCITY-729,1,VELOCITY
VELOCITY-728,0,VELOCITY
VELOCITY-763,1,VELOCITY
VELOCITY-641,3,VELOCITY
VELOCITY-642,0,VELOCITY
VELOCITY-760,2,VELOCITY
VELOCITY-544,0,VELOCITY
VELOCITY-536,0,VELOCITY
VELOCITY-537,0,VELOCITY
VELOCITY-452,0,VELOCITY
VELOCITY-516,0,VELOCITY
VELOCITY-551,0,VELOCITY
VELOCITY-718,0,VELOCITY
VELOCITY-658,0,VELOCITY
VELOCITY-630,1,VELOCITY
VELOCITY-590,0,VELOCITY
WICKET-756,1,WICKET
WICKET-1908,1,WICKET
WICKET-1903,2,WICKET
WICKET-1901,2,WICKET
WICKET-6303,1,WICKET
WICKET-6477,1,WICKET
WICKET-6473,7,WICKET
WICKET-3485,2,WICKET
WICKET-5747,1,WICKET
WICKET-6570,0,WICKET
WICKET-5204,7,WICKET
WICKET-5518,3,WICKET
WICKET-859,0,WICKET
WICKET-1239,4,WICKET
WICKET-3719,0,WICKET
WICKET-5202,0,WICKET
WICKET-5203,0,WICKET
WICKET-3715,0,WICKET
WICKET-851,1,WICKET
WICKET-1230,0,WICKET
WICKET-5570,1,WICKET
WICKET-3713,0,WICKET
WICKET-4686,21,WICKET
WICKET-5322,0,WICKET
WICKET-4683,1,WICKET
WICKET-4681,1,WICKET
WICKET-3547,0,WICKET
WICKET-1977,0,WICKET
WICKET-5772,9,WICKET
WICKET-4022,0,WICKET
WICKET-1626,10,WICKET
WICKET-1627,3,WICKET
WICKET-4333,2,WICKET
WICKET-3758,0,WICKET
WICKET-6230,3,WICKET
WICKET-4484,9,WICKET
WICKET-4487,0,WICKET
WICKET-4953,18,WICKET
WICKET-4480,0,WICKET
WICKET-4483,0,WICKET
WICKET-4950,0,WICKET
WICKET-4391,1,WICKET
WICKET-2844,1,WICKET
WICKET-4488,0,WICKET
WICKET-4520,2,WICKET
WICKET-5371,9,WICKET
WICKET-4290,4,WICKET
WICKET-5339,35,WICKET
WICKET-4292,0,WICKET
WICKET-4293,0,WICKET
WICKET-2202,4,WICKET
WICKET-4298,2,WICKET
WICKET-4184,1,WICKET
WICKET-4353,6,WICKET
WICKET-2534,1,WICKET
WICKET-5334,54,WICKET
WICKET-2438,0,WICKET
WICKET-3436,0,WICKET
WICKET-3004,1,WICKET
WICKET-3005,3,WICKET
WICKET-3006,3,WICKET
WICKET-5502,1,WICKET
WICKET-5500,1,WICKET
WICKET-611,1,WICKET
WICKET-5506,2,WICKET
WICKET-5505,2,WICKET
WICKET-1718,90,WICKET
WICKET-1494,4,WICKET
WICKET-1496,4,WICKET
WICKET-2645,0,WICKET
WICKET-3222,0,WICKET
WICKET-1839,1,WICKET
WICKET-3349,2,WICKET
WICKET-3348,2,WICKET
WICKET-1652,4,WICKET
WICKET-5119,4,WICKET
WICKET-5114,2,WICKET
WICKET-3872,1,WICKET
WICKET-4899,0,WICKET
WICKET-5112,0,WICKET
WICKET-1483,11,WICKET
WICKET-5055,1,WICKET
WICKET-1124,2,WICKET
WICKET-5056,3,WICKET
WICKET-6288,1,WICKET
WICKET-5053,1,WICKET
WICKET-5546,2,WICKET
WICKET-896,1,WICKET
WICKET-4550,2,WICKET
WICKET-920,0,WICKET
WICKET-3508,0,WICKET
WICKET-2995,8,WICKET
WICKET-834,0,WICKET
WICKET-4226,0,WICKET
WICKET-550,11,WICKET
WICKET-3503,2,WICKET
WICKET-4222,2,WICKET
WICKET-2102,2,WICKET
WICKET-2103,18,WICKET
WICKET-864,1,WICKET
WICKET-5205,4,WICKET
WICKET-2849,3,WICKET
WICKET-2261,2,WICKET
WICKET-2264,21,WICKET
WICKET-4634,0,WICKET
WICKET-4632,0,WICKET
WICKET-3213,0,WICKET
WICKET-1408,0,WICKET
WICKET-4738,13,WICKET
WICKET-4737,0,WICKET
WICKET-4735,3,WICKET
WICKET-4734,3,WICKET
WICKET-1403,10,WICKET
WICKET-1400,0,WICKET
WICKET-3919,0,WICKET
WICKET-6058,0,WICKET
WICKET-6059,0,WICKET
WICKET-5603,10,WICKET
WICKET-5075,1,WICKET
WICKET-3769,0,WICKET
WICKET-6052,0,WICKET
WICKET-1648,3,WICKET
WICKET-5048,1,WICKET
WICKET-5891,0,WICKET
WICKET-2666,0,WICKET
WICKET-2197,5,WICKET
WICKET-1643,0,WICKET
WICKET-2663,1,WICKET
WICKET-2218,17,WICKET
WICKET-2660,1,WICKET
WICKET-2740,16,WICKET
WICKET-5898,0,WICKET
WICKET-2215,2,WICKET
WICKET-6543,2,WICKET
WICKET-1947,17,WICKET
WICKET-1829,1,WICKET
WICKET-6540,2,WICKET
WICKET-897,1,WICKET
WICKET-1278,0,WICKET
WICKET-5970,1,WICKET
WICKET-4082,0,WICKET
WICKET-4276,2,WICKET
WICKET-4877,1,WICKET
WICKET-4878,1,WICKET
WICKET-4123,1,WICKET
WICKET-5978,2,WICKET
WICKET-4121,2,WICKET
WICKET-6630,1,WICKET
WICKET-6631,1,WICKET
WICKET-5874,6,WICKET
WICKET-3962,2,WICKET
WICKET-4641,1,WICKET
WICKET-5041,1,WICKET
WICKET-4646,1,WICKET
WICKET-3617,0,WICKET
WICKET-1575,2,WICKET
WICKET-1473,3,WICKET
WICKET-5879,0,WICKET
WICKET-564,0,WICKET
WICKET-1476,1,WICKET
WICKET-847,14,WICKET
WICKET-4684,1,WICKET
WICKET-2061,2,WICKET
WICKET-2060,1,WICKET
WICKET-1135,0,WICKET
WICKET-2065,1,WICKET
WICKET-2067,0,WICKET
WICKET-2305,0,WICKET
WICKET-5975,0,WICKET
WICKET-4997,9,WICKET
WICKET-6279,5,WICKET
WICKET-4995,39,WICKET
WICKET-4998,1,WICKET
WICKET-6273,1,WICKET
WICKET-6374,1,WICKET
WICKET-1314,4,WICKET
WICKET-6373,3,WICKET
WICKET-1311,8,WICKET
WICKET-2966,1,WICKET
WICKET-1759,1,WICKET
WICKET-6441,6,WICKET
WICKET-1319,0,WICKET
WICKET-5374,1,WICKET
WICKET-1161,1,WICKET
WICKET-6522,2,WICKET
WICKET-6523,2,WICKET
WICKET-3048,5,WICKET
WICKET-6525,2,WICKET
WICKET-6526,2,WICKET
WICKET-6617,1,WICKET
WICKET-4016,0,WICKET
WICKET-6529,0,WICKET
WICKET-734,2,WICKET
WICKET-4012,0,WICKET
WICKET-6614,16,WICKET
WICKET-3765,46,WICKET
WICKET-3764,0,WICKET
WICKET-860,7,WICKET
WICKET-1290,5,WICKET
WICKET-3761,0,WICKET
WICKET-5537,2,WICKET
WICKET-3688,0,WICKET
WICKET-3762,15,WICKET
WICKET-4529,2,WICKET
WICKET-5424,5,WICKET
WICKET-2522,1,WICKET
WICKET-2047,6,WICKET
WICKET-1754,1,WICKET
WICKET-4543,1,WICKET
WICKET-2491,1,WICKET
WICKET-1750,5,WICKET
WICKET-6088,0,WICKET
WICKET-6087,0,WICKET
WICKET-5241,16,WICKET
WICKET-3141,2,WICKET
WICKET-4803,10,WICKET
WICKET-6080,0,WICKET
WICKET-5011,0,WICKET
WICKET-5019,0,WICKET
WICKET-5013,2,WICKET
WICKET-4458,0,WICKET
WICKET-4900,2,WICKET
WICKET-2350,4,WICKET
WICKET-4906,1,WICKET
WICKET-4907,16,WICKET
WICKET-4516,0,WICKET
WICKET-2812,4,WICKET
WICKET-4514,0,WICKET
WICKET-1366,3,WICKET
WICKET-4511,0,WICKET
WICKET-2407,2,WICKET
WICKET-4260,5,WICKET
WICKET-4806,2,WICKET
WICKET-4265,0,WICKET
WICKET-4264,4,WICKET
WICKET-4519,2,WICKET
WICKET-960,1,WICKET
WICKET-4303,0,WICKET
WICKET-4732,1,WICKET
WICKET-2453,1,WICKET
WICKET-4306,0,WICKET
WICKET-3465,1,WICKET
WICKET-2568,26,WICKET
WICKET-4309,0,WICKET
WICKET-4009,0,WICKET
WICKET-4679,1,WICKET
WICKET-3514,3,WICKET
WICKET-2811,0,WICKET
WICKET-2985,1,WICKET
WICKET-2384,2,WICKET
WICKET-4475,14,WICKET
WICKET-4956,0,WICKET
WICKET-1721,42,WICKET
WICKET-1360,10,WICKET
WICKET-1725,1,WICKET
WICKET-2552,26,WICKET
WICKET-1728,14,WICKET
WICKET-5490,0,WICKET
WICKET-5165,0,WICKET
WICKET-5164,2,WICKET
WICKET-4429,4,WICKET
WICKET-2989,1,WICKET
WICKET-6010,1,WICKET
WICKET-4663,1,WICKET
WICKET-1682,1,WICKET
WICKET-3825,17,WICKET
WICKET-5086,1,WICKET
WICKET-6154,109,WICKET
WICKET-3828,1,WICKET
WICKET-5085,2,WICKET
WICKET-6151,0,WICKET
WICKET-5083,2,WICKET
WICKET-4425,1,WICKET
WICKET-4424,1,WICKET
WICKET-2313,2,WICKET
WICKET-2705,28,WICKET
WICKET-4165,3,WICKET
WICKET-2316,3,WICKET
WICKET-6377,3,WICKET
WICKET-913,1,WICKET
WICKET-3454,0,WICKET
WICKET-916,0,WICKET
WICKET-4784,3,WICKET
WICKET-914,1,WICKET
WICKET-6235,1,WICKET
WICKET-2033,5,WICKET
WICKET-2030,0,WICKET
WICKET-4839,19,WICKET
WICKET-5939,2,WICKET
WICKET-5499,1,WICKET
WICKET-4836,11,WICKET
WICKET-2039,1,WICKET
WICKET-1868,4,WICKET
WICKET-3691,0,WICKET
WICKET-3544,0,WICKET
WICKET-5837,0,WICKET
WICKET-4164,3,WICKET
WICKET-5834,0,WICKET
WICKET-4163,1,WICKET
WICKET-4161,3,WICKET
WICKET-1536,9,WICKET
WICKET-1274,1,WICKET
WICKET-1535,4,WICKET
WICKET-4168,1,WICKET
WICKET-5838,3,WICKET
WICKET-4760,2,WICKET
WICKET-4761,4,WICKET
WICKET-4763,0,WICKET
WICKET-4766,0,WICKET
WICKET-3463,1,WICKET
WICKET-4769,1,WICKET
WICKET-6043,0,WICKET
WICKET-4300,0,WICKET
WICKET-1438,1,WICKET
WICKET-2638,0,WICKET
WICKET-1188,3,WICKET
WICKET-4959,0,WICKET
WICKET-2,34,WICKET
WICKET-3466,0,WICKET
WICKET-1181,0,WICKET
WICKET-2633,0,WICKET
WICKET-2142,2,WICKET
WICKET-2635,0,WICKET
WICKET-890,1,WICKET
WICKET-1919,6,WICKET
WICKET-6332,0,WICKET
WICKET-4324,17,WICKET
WICKET-4358,8,WICKET
WICKET-6339,9,WICKET
WICKET-4305,0,WICKET
WICKET-1914,3,WICKET
WICKET-1915,0,WICKET
WICKET-1916,2,WICKET
WICKET-2993,1,WICKET
WICKET-4913,0,WICKET
WICKET-3559,0,WICKET
WICKET-6568,10,WICKET
WICKET-4881,2,WICKET
WICKET-5230,2,WICKET
WICKET-5941,1,WICKET
WICKET-5235,0,WICKET
WICKET-5946,0,WICKET
WICKET-5237,0,WICKET
WICKET-5944,0,WICKET
WICKET-3721,0,WICKET
WICKET-4112,1,WICKET
WICKET-1220,11,WICKET
WICKET-3649,0,WICKET
WICKET-3725,0,WICKET
WICKET-4116,2,WICKET
WICKET-828,0,WICKET
WICKET-4955,0,WICKET
WICKET-3642,16,WICKET
WICKET-5893,0,WICKET
WICKET-4119,1,WICKET
WICKET-1229,0,WICKET
WICKET-823,0,WICKET
WICKET-4694,1,WICKET
WICKET-4695,5,WICKET
WICKET-5466,0,WICKET
WICKET-4697,21,WICKET
WICKET-5460,0,WICKET
WICKET-4691,1,WICKET
WICKET-1985,1,WICKET
WICKET-1989,0,WICKET
WICKET-1988,1,WICKET
WICKET-5468,0,WICKET
WICKET-4151,1,WICKET
WICKET-6026,0,WICKET
WICKET-1781,4,WICKET
WICKET-4496,22,WICKET
WICKET-2015,1,WICKET
WICKET-4758,2,WICKET
WICKET-1047,2,WICKET
WICKET-4988,12,WICKET
WICKET-1042,1,WICKET
WICKET-1308,0,WICKET
WICKET-2856,0,WICKET
WICKET-2530,0,WICKET
WICKET-2850,19,WICKET
WICKET-5187,53,WICKET
WICKET-2917,4,WICKET
WICKET-3586,1,WICKET
WICKET-2528,0,WICKET
WICKET-5895,24,WICKET
WICKET-4390,1,WICKET
WICKET-1436,2,WICKET
WICKET-6419,1,WICKET
WICKET-4345,2,WICKET
WICKET-3588,1,WICKET
WICKET-3420,2,WICKET
WICKET-3035,2,WICKET
WICKET-622,14,WICKET
WICKET-748,0,WICKET
WICKET-3031,2,WICKET
WICKET-625,26,WICKET
WICKET-3033,2,WICKET
WICKET-4020,0,WICKET
WICKET-4180,1,WICKET
WICKET-4183,1,WICKET
WICKET-3039,3,WICKET
WICKET-4185,1,WICKET
WICKET-745,3,WICKET
WICKET-2506,0,WICKET
WICKET-3218,4,WICKET
WICKET-819,1,WICKET
WICKET-6524,0,WICKET
WICKET-3217,0,WICKET
WICKET-3359,2,WICKET
WICKET-2434,0,WICKET
WICKET-3212,0,WICKET
WICKET-5123,1,WICKET
WICKET-1139,0,WICKET
WICKET-3868,48,WICKET
WICKET-1647,10,WICKET
WICKET-6111,0,WICKET
WICKET-5043,11,WICKET
WICKET-5040,0,WICKET
WICKET-1131,0,WICKET
WICKET-3862,19,WICKET
WICKET-5044,5,WICKET
WICKET-6116,0,WICKET
WICKET-4548,1,WICKET
WICKET-6296,2,WICKET
WICKET-3471,4,WICKET
WICKET-1039,0,WICKET
WICKET-1038,4,WICKET
WICKET-6017,3,WICKET
WICKET-816,0,WICKET
WICKET-4546,1,WICKET
WICKET-2600,3,WICKET
WICKET-2598,1,WICKET
WICKET-3510,0,WICKET
WICKET-3511,0,WICKET
WICKET-953,0,WICKET
WICKET-2456,1,WICKET
WICKET-3812,0,WICKET
WICKET-3101,0,WICKET
WICKET-3103,0,WICKET
WICKET-4330,0,WICKET
WICKET-2595,0,WICKET
WICKET-4340,0,WICKET
WICKET-2277,2,WICKET
WICKET-1513,9,WICKET
WICKET-4729,2,WICKET
WICKET-4727,0,WICKET
WICKET-4723,0,WICKET
WICKET-3818,1,WICKET
WICKET-6069,0,WICKET
WICKET-2038,1,WICKET
WICKET-827,0,WICKET
WICKET-1574,0,WICKET
WICKET-6506,18,WICKET
WICKET-2180,18,WICKET
WICKET-2181,18,WICKET
WICKET-6062,0,WICKET
WICKET-2675,0,WICKET
WICKET-5883,0,WICKET
WICKET-2672,0,WICKET
WICKET-5881,0,WICKET
WICKET-3490,2,WICKET
WICKET-1409,4,WICKET
WICKET-3755,0,WICKET
WICKET-1954,0,WICKET
WICKET-6014,0,WICKET
WICKET-2003,0,WICKET
WICKET-2002,0,WICKET
WICKET-1816,1,WICKET
WICKET-6102,0,WICKET
WICKET-1959,1,WICKET
WICKET-1812,17,WICKET
WICKET-5869,10,WICKET
WICKET-5904,0,WICKET
WICKET-4841,5,WICKET
WICKET-4093,1,WICKET
WICKET-1268,2,WICKET
WICKET-4842,7,WICKET
WICKET-5861,0,WICKET
WICKET-5862,0,WICKET
WICKET-1715,0,WICKET
WICKET-954,1,WICKET
WICKET-4848,0,WICKET
WICKET-5909,2,WICKET
WICKET-4099,4,WICKET
WICKET-1507,2,WICKET
WICKET-3972,0,WICKET
WICKET-5539,3,WICKET
WICKET-3974,9,WICKET
WICKET-4658,11,WICKET
WICKET-893,1,WICKET
WICKET-3989,0,WICKET
WICKET-1467,0,WICKET
WICKET-6155,2,WICKET
WICKET-2079,2,WICKET
WICKET-2077,2,WICKET
WICKET-4775,2,WICKET
WICKET-5084,1,WICKET
WICKET-6241,1,WICKET
WICKET-6242,1,WICKET
WICKET-6245,9,WICKET
WICKET-6244,1,WICKET
WICKET-4599,0,WICKET
WICKET-4598,0,WICKET
WICKET-6362,4,WICKET
WICKET-4989,4,WICKET
WICKET-4594,13,WICKET
WICKET-4590,0,WICKET
WICKET-5080,1,WICKET
WICKET-4398,2,WICKET
WICKET-6455,0,WICKET
WICKET-3700,0,WICKET
WICKET-3520,2,WICKET
WICKET-4387,6,WICKET
WICKET-4384,1,WICKET
WICKET-1148,3,WICKET
WICKET-5402,5,WICKET
WICKET-1658,1,WICKET
WICKET-6513,1,WICKET
WICKET-3076,7,WICKET
WICKET-6604,2,WICKET
WICKET-3078,0,WICKET
WICKET-5268,0,WICKET
WICKET-5269,0,WICKET
WICKET-4485,0,WICKET
WICKET-5915,0,WICKET
WICKET-870,1,WICKET
WICKET-705,1,WICKET
WICKET-3670,2,WICKET
WICKET-703,0,WICKET
WICKET-4890,0,WICKET
WICKET-3675,14,WICKET
WICKET-5553,1,WICKET
WICKET-878,1,WICKET
WICKET-5416,7,WICKET
WICKET-4884,3,WICKET
WICKET-841,0,WICKET
WICKET-2281,0,WICKET
WICKET-5054,1,WICKET
WICKET-6094,0,WICKET
WICKET-4359,1,WICKET
WICKET-6097,0,WICKET
WICKET-3097,0,WICKET
WICKET-2006,0,WICKET
WICKET-4558,1,WICKET
WICKET-4939,0,WICKET
WICKET-4844,5,WICKET
WICKET-4935,2,WICKET
WICKET-6289,1,WICKET
WICKET-2488,0,WICKET
WICKET-838,0,WICKET
WICKET-4505,0,WICKET
WICKET-4507,0,WICKET
WICKET-2418,3,WICKET
WICKET-2419,2,WICKET
WICKET-4278,0,WICKET
WICKET-5906,0,WICKET
WICKET-4926,3,WICKET
WICKET-3557,46,WICKET
WICKET-3731,0,WICKET
WICKET-4509,0,WICKET
WICKET-3551,0,WICKET
WICKET-2554,1,WICKET
WICKET-4918,0,WICKET
WICKET-6586,2,WICKET
WICKET-4370,1,WICKET
WICKET-5903,0,WICKET
WICKET-2107,2,WICKET
WICKET-4076,4,WICKET
WICKET-4077,1,WICKET
WICKET-4502,2,WICKET
WICKET-3328,5,WICKET
WICKET-6231,1,WICKET
WICKET-2239,18,WICKET
WICKET-3323,0,WICKET
WICKET-3322,1,WICKET
WICKET-1730,1,WICKET
WICKET-6028,0,WICKET
WICKET-4071,3,WICKET
WICKET-1736,2,WICKET
WICKET-6021,0,WICKET
WICKET-6020,0,WICKET
WICKET-5176,79,WICKET
WICKET-6027,0,WICKET
WICKET-1861,3,WICKET
WICKET-5073,1,WICKET
WICKET-5072,1,WICKET
WICKET-5071,15,WICKET
WICKET-5076,16,WICKET
WICKET-1105,3,WICKET
WICKET-3850,1,WICKET
WICKET-5078,1,WICKET
WICKET-4435,1,WICKET
WICKET-4437,2,WICKET
WICKET-2301,0,WICKET
WICKET-4915,0,WICKET
WICKET-4267,2,WICKET
WICKET-4203,1,WICKET
WICKET-2309,0,WICKET
WICKET-3253,0,WICKET
WICKET-3252,0,WICKET
WICKET-3526,1,WICKET
WICKET-1995,0,WICKET
WICKET-4801,1,WICKET
WICKET-2045,0,WICKET
WICKET-5287,4,WICKET
WICKET-2040,0,WICKET
WICKET-1997,0,WICKET
WICKET-2105,2,WICKET
WICKET-1016,1,WICKET
WICKET-4301,0,WICKET
WICKET-4266,0,WICKET
WICKET-487,2,WICKET
WICKET-4616,0,WICKET
WICKET-4617,0,WICKET
WICKET-5828,0,WICKET
WICKET-4755,2,WICKET
WICKET-1425,7,WICKET
WICKET-4757,0,WICKET
WICKET-3506,0,WICKET
WICKET-4751,0,WICKET
WICKET-4753,0,WICKET
WICKET-1423,0,WICKET
WICKET-4759,1,WICKET
WICKET-1780,1,WICKET
WICKET-613,11,WICKET
WICKET-6220,1,WICKET
WICKET-2609,0,WICKET
WICKET-5182,0,WICKET
WICKET-4659,1,WICKET
WICKET-3980,0,WICKET
WICKET-2992,1,WICKET
WICKET-3280,1,WICKET
WICKET-6324,0,WICKET
WICKET-6325,0,WICKET
WICKET-5835,0,WICKET
WICKET-5484,0,WICKET
WICKET-5596,1,WICKET
WICKET-4690,4,WICKET
